transaction_id,week_start,region,state,city,store_id,product_id,product_name,category,brand,promotion_name,promotion_type,promotion_active,units_sold,revenue,discount_amount,inventory_before,inventory_after,customer_rating
100001,2026-01-05,North,Delhi,New Delhi,STR101,P114,Harpic 500ml,Household,Reckitt,,,False,43,4337.99,0.0,867,824,4.2
100002,2026-01-05,North,Delhi,New Delhi,STR101,P108,Amul Milk 1L,Dairy,Amul,,,False,107,7102.64,0.0,880,773,4.7
100003,2026-01-05,North,Delhi,New Delhi,STR101,P104,Lay's Classic 52g,Snacks,PepsiCo,,,False,103,2087.0,0.0,638,535,4.3
100004,2026-01-05,North,Delhi,New Delhi,STR101,P111,Colgate Toothpaste 150g,Personal Care,Colgate,,,False,72,6045.25,0.0,815,743,4.3
100005,2026-01-05,North,Delhi,New Delhi,STR101,P109,Nestle Milkmaid 400g,Dairy,Nestle,,,False,32,3096.85,0.0,705,673,4.2
100006,2026-01-05,North,Delhi,New Delhi,STR101,P110,Dove Soap 100g,Personal Care,Unilever,,,False,46,2502.36,0.0,662,616,4.5
100007,2026-01-05,North,Delhi,New Delhi,STR101,P103,Pepsi 500ml,Soft Drinks,PepsiCo,,,False,68,2756.15,0.0,717,649,4.0
100008,2026-01-05,North,Delhi,New Delhi,STR101,P115,Vim Dishwash Bar,Household,Unilever,,,False,51,999.9,0.0,902,851,4.0
100009,2026-01-05,North,Delhi,New Delhi,STR101,P105,Kurkure Masala 55g,Snacks,PepsiCo,,,False,102,2045.61,0.0,518,416,4.3
100010,2026-01-05,North,Delhi,New Delhi,STR101,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,65,2614.01,0.0,569,504,4.2
100011,2026-01-05,North,Delhi,New Delhi,STR101,P117,Britannia Good Day 100g,Snacks,Britannia,,,False,75,2281.81,0.0,517,442,4.2
100012,2026-01-05,North,Delhi,New Delhi,STR102,P113,Surf Excel 1kg,Household,Unilever,,,False,44,6200.49,0.0,640,596,4.3
100013,2026-01-05,North,Delhi,New Delhi,STR102,P120,Cadbury Dairy Milk 55g,Snacks,Mondelez,,,False,106,4705.37,0.0,950,844,4.7
100014,2026-01-05,North,Delhi,New Delhi,STR102,P117,Britannia Good Day 100g,Snacks,Britannia,,,False,80,2412.51,0.0,750,670,4.0
100015,2026-01-05,North,Delhi,New Delhi,STR102,P116,Maggi Noodles 70g,Snacks,Nestle,,,False,129,1839.89,0.0,631,502,4.6
100016,2026-01-05,North,Delhi,New Delhi,STR102,P119,Bisleri Water 1L,Soft Drinks,Bisleri,,,False,83,1657.06,0.0,889,806,3.8
100017,2026-01-05,North,Delhi,New Delhi,STR102,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,47,1899.44,0.0,746,699,4.1
100018,2026-01-05,North,Delhi,New Delhi,STR102,P106,Haldiram's Bhujia 200g,Snacks,Haldiram's,,,False,55,3288.89,0.0,859,804,4.4
100019,2026-01-05,North,Delhi,New Delhi,STR102,P111,Colgate Toothpaste 150g,Personal Care,Colgate,,,False,51,4350.2,0.0,896,845,4.1
100020,2026-01-05,North,Delhi,New Delhi,STR102,P103,Pepsi 500ml,Soft Drinks,PepsiCo,,,False,66,2688.42,0.0,585,519,3.8
100021,2026-01-05,North,Delhi,New Delhi,STR102,P115,Vim Dishwash Bar,Household,Unilever,,,False,68,1383.82,0.0,580,512,3.7
100022,2026-01-05,North,Delhi,New Delhi,STR102,P105,Kurkure Masala 55g,Snacks,PepsiCo,,,False,80,1569.38,0.0,785,705,4.3
100023,2026-01-05,North,Delhi,New Delhi,STR102,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,85,3423.42,0.0,559,474,4.2
100024,2026-01-05,North,Punjab,Ludhiana,STR103,P108,Amul Milk 1L,Dairy,Amul,,,False,138,8939.47,0.0,863,725,4.4
100025,2026-01-05,North,Punjab,Ludhiana,STR103,P118,Real Mixed Fruit Juice 1L,Soft Drinks,Dabur,,,False,29,2923.01,0.0,817,788,4.0
100026,2026-01-05,North,Punjab,Ludhiana,STR103,P111,Colgate Toothpaste 150g,Personal Care,Colgate,,,False,44,3730.29,0.0,645,601,4.0
100027,2026-01-05,North,Punjab,Ludhiana,STR103,P110,Dove Soap 100g,Personal Care,Unilever,,,False,56,3113.51,0.0,667,611,4.6
100028,2026-01-05,North,Punjab,Ludhiana,STR103,P109,Nestle Milkmaid 400g,Dairy,Nestle,,,False,22,2117.68,0.0,830,808,4.3
100029,2026-01-05,North,Punjab,Ludhiana,STR103,P113,Surf Excel 1kg,Household,Unilever,,,False,47,6530.08,0.0,999,952,4.2
100030,2026-01-05,North,Punjab,Ludhiana,STR103,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,58,2284.91,0.0,888,830,4.2
100031,2026-01-05,North,Punjab,Ludhiana,STR103,P119,Bisleri Water 1L,Soft Drinks,Bisleri,,,False,88,1775.16,0.0,542,454,4.1
100032,2026-01-05,North,Punjab,Ludhiana,STR103,P114,Harpic 500ml,Household,Reckitt,,,False,30,2968.64,0.0,869,839,4.3
100033,2026-01-05,North,Punjab,Ludhiana,STR103,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,75,3006.62,0.0,574,499,3.9
100034,2026-01-05,North,Punjab,Ludhiana,STR103,P107,Amul Butter 100g,Dairy,Amul,,,False,76,3946.84,0.0,816,740,4.5
100035,2026-01-05,North,Punjab,Ludhiana,STR103,P116,Maggi Noodles 70g,Snacks,Nestle,,,False,122,1689.73,0.0,667,545,4.3
